Instruction Name,Type,Opcode,funct3,funct7
LUI,U,0110111,,
AUIPC,U,0010111,,
JAL,J,1101111,,
JALR,I,1100111,000,
BEQ,B,1100011,000,
BNE,B,1100011,001,
BLT,B,1100011,100,
BGE,B,1100011,101,
BLTU,B,1100011,110,
BGEU,B,1100011,111,
LB,I,0000011,000,
LH,I,0000011,001,
LW,I,0000011,010,
LBU,I,0000011,100,
LHU,I,0000011,101,
SB,S,0100011,000,
SH,S,0100011,001,
SW,S,0100011,010,
ADDI,I,0010011,000,
SLTI,I,0010011,010,
SLTIU,I,0010011,011,
XORI,I,0010011,100,
ORI,I,0010011,110,
ANDI,I,0010011,111,
SLLI,I,0010011,001,
SRLI,R,0010011,101,
SRAI,I,10010011,101,
ADD,R,0110011,000,0000000
SUB,R,0110011,000,0100000
SLL,R,0110011,001,0000000
SLT,R,0110011,010,0000000
SLTU,R,0110011,011,0000000
XOR,R,0110011,100,0000000
SRL,R,0110011,101,0000000
SRA,R,0110011,101,0010000
OR,R,0110011,110,0000000
AND,R,0110011,111,0000000
FENCE,y,,,
ECALL,y,,,
EBREAK,y,,,